Time [s],V_BATT [V],V_5V [V],V_3V3 [V]
164.65,12.25,5.02,3.16
164.95,12.23,4.98,3.26
165.25,12.25,5.02,3.1
165.55,12.25,4.97,3.22
165.85,12.26,4.99,3.3
166.15,12.26,4.99,3.16
166.45,12.23,4.98,3.14
166.75,12.3,4.99,3.13
167.05,12.25,4.98,3.21
167.36,12.23,4.99,3.18
167.66,12.25,4.98,3.19
167.96,12.25,4.98,3.23
168.26,12.26,4.98,3.18
168.56,12.25,4.98,3.62
168.86,12.25,4.99,3.41
169.16,12.25,4.98,3.17
169.46,12.25,4.99,3.15
169.76,12.25,4.98,3.22
170.07,12.26,5.01,3.27
170.37,12.23,4.98,3.3
170.67,12.23,4.98,3.21
170.97,12.26,4.99,3.23
171.27,12.25,4.99,3.21
171.57,12.25,4.97,3.27
171.87,12.25,5.02,3.23
172.17,12.26,4.99,3.18
172.47,12.26,4.98,3.2
172.77,12.28,4.94,3.25
173.07,12.26,4.97,3.21
173.38,12.23,4.98,3.24
173.68,12.23,5.02,3.24
173.98,12.25,5.01,3.14
174.28,12.26,4.98,3.23
174.58,12.28,4.98,3.16
174.88,12.23,4.99,3.2
175.18,12.25,4.99,3.16
175.48,12.25,4.97,3.2
175.78,12.25,4.97,3.24
176.09,12.25,4.99,3.14
176.39,12.26,4.99,3.23
176.69,12.28,5.02,3.23
176.99,12.25,4.99,3.27
177.29,12.25,4.97,3.2
177.59,12.23,4.99,3.23
177.89,12.25,5.02,3.26
178.19,12.26,4.98,3.23
178.49,12.26,5.01,3.12
178.79,12.26,4.98,3.25
179.1,12.25,4.98,3.23
179.4,12.25,4.98,3.23
179.7,12.23,4.98,3.21
180.0,12.25,5.01,3.19
180.3,12.25,4.98,3.19
180.6,12.25,4.98,3.21
180.9,12.25,4.97,3.21
181.2,12.23,5.01,3.19
181.5,12.26,4.99,3.22
181.8,12.25,4.98,3.16
182.1,12.28,4.97,3.18
182.41,12.21,4.99,3.23
182.71,12.28,4.99,3.17
183.01,12.25,4.99,3.27
183.31,12.25,5.02,2.77
183.61,12.25,4.98,3.38
183.91,12.26,4.99,3.19
184.21,12.26,4.97,3.18
184.51,12.25,4.99,3.21
184.81,12.26,4.98,3.21
185.12,12.25,5.01,3.19
185.42,12.26,4.98,2.97
185.72,12.26,4.98,3.18
186.02,12.26,5.01,3.28
186.32,12.28,4.95,3.17
186.62,12.25,4.98,3.26
186.92,12.21,4.99,3.27
187.22,12.25,4.98,3.12
187.52,12.25,4.99,3.38
187.82,12.28,4.98,3.19
188.12,12.25,4.99,3.28
188.43,12.25,4.99,3.25
188.73,12.26,4.98,3.18
189.03,12.23,4.98,3.18
189.33,12.23,4.99,3.17
189.63,12.26,4.98,3.27
189.93,12.23,4.99,3.17
190.23,12.23,4.98,3.23
190.53,12.23,4.99,3.25
190.83,12.25,4.99,3.19
191.13,12.25,4.99,3.24
191.44,12.25,4.97,3.23
191.74,12.23,5.01,3.25
192.04,12.26,4.99,3.23
192.34,12.26,4.98,3.21
192.64,12.23,4.98,3.23
192.94,12.25,4.99,3.18
193.24,12.23,4.98,3.16
193.54,12.25,4.98,3.19
193.84,12.21,4.98,3.18
194.15,12.25,4.99,3.2
194.45,12.25,4.99,3.2
194.75,12.26,4.97,3.19
195.05,12.25,4.98,3.16
195.35,12.25,4.99,3.16
195.65,12.25,4.98,3.26
195.95,12.25,4.99,3.05
196.25,12.25,4.97,3.24
196.55,12.28,4.97,3.25
196.85,12.26,5.01,3.25
197.15,12.23,4.99,3.19
197.46,12.25,5.01,3.26
197.76,12.25,4.99,3.21
198.06,12.26,5.01,3.17
198.36,12.26,4.99,3.21
198.66,12.25,4.98,3.22
198.96,12.25,4.99,3.17
199.26,12.25,4.9,3.22
199.56,12.25,4.98,3.22
199.86,12.26,4.99,3.25
200.16,12.26,4.99,3.25
200.47,12.23,4.99,3.19
200.77,12.21,4.99,3.18
201.07,12.23,4.98,3.25
201.37,12.26,5.01,3.31
201.67,12.25,4.98,3.18
201.97,12.25,5.01,3.21
202.27,12.26,4.98,3.27
202.57,12.26,5.01,3.25
202.87,12.26,5.01,3.16
203.18,12.26,4.99,3.24
203.48,12.23,4.99,3.2
203.78,12.26,5.01,3.66
204.08,12.26,5.01,3.25
204.38,12.25,4.98,3.22
204.68,12.26,4.98,3.21
204.98,12.25,4.98,3.21
205.28,12.26,4.99,3.2
205.58,12.25,4.97,3.2
205.88,12.26,5.01,3.17
206.18,12.23,4.99,3.17
206.49,12.26,4.99,3.24
206.79,12.23,4.98,3.23
207.09,12.23,4.99,3.27
207.39,12.23,4.97,3.28
207.69,12.25,4.99,3.31
207.99,12.25,4.99,3.22
208.29,12.28,5.01,3.17
208.59,12.25,4.99,2.77
208.89,12.23,4.99,3.19
209.2,12.25,4.99,3.25
209.5,12.25,5.01,3.23
209.8,12.25,4.99,3.34
210.1,12.26,4.99,3.19
210.4,12.23,4.94,3.26
210.7,12.26,4.99,3.27
211.0,12.26,4.98,3.28
211.3,12.26,5.01,3.18
211.6,12.26,4.95,3.19
211.9,12.25,4.98,3.16
212.21,12.25,4.99,3.28
212.51,12.25,4.99,3.16
212.81,12.25,4.97,3.29
213.11,12.23,5.01,3.16
213.41,12.23,4.98,3.29
213.71,12.26,5.01,3.07
214.01,12.25,4.98,3.16
214.31,12.21,5.02,3.22
214.61,12.25,4.99,3.2
214.91,12.25,4.98,3.17
215.21,12.25,4.99,3.14
215.52,12.25,4.98,3.23
215.82,12.23,4.99,3.19
216.12,12.26,4.99,3.24
216.42,12.23,4.99,3.26
216.72,12.23,4.97,3.24
217.02,12.21,5.01,3.12
217.32,12.23,4.99,3.16
217.62,12.26,4.99,3.24
217.92,12.26,4.99,3.21
218.23,12.26,4.99,3.23
218.53,12.25,4.99,3.23
218.83,12.25,5.01,3.54
219.13,12.21,4.97,3.17
219.43,12.21,4.97,3.19
219.73,12.23,4.99,3.26
220.03,12.26,4.98,3.18
220.33,12.23,4.99,3.23
220.63,12.26,4.99,3.23
220.93,12.25,4.97,3.24
221.24,12.25,4.98,3.2
221.54,12.26,4.98,3.21
221.84,12.25,4.99,3.22
222.14,12.26,5.01,3.34
222.44,12.23,4.99,3.25
222.74,12.25,4.99,3.34
223.04,12.26,4.97,3.25
223.34,12.26,4.99,3.24
223.64,12.25,4.99,3.27
223.94,12.23,4.98,3.18
224.24,12.21,4.98,3.29
224.55,12.25,4.99,3.2
224.85,12.26,4.97,3.16
225.15,12.21,4.98,3.24
225.45,12.3,4.99,3.22
225.75,12.23,4.98,3.25
226.05,12.23,4.97,3.17
226.35,12.25,4.98,3.19
226.65,12.25,4.99,3.24
226.95,12.26,4.98,3.19
227.26,12.26,4.99,3.24
227.56,12.25,4.99,3.19
227.86,12.25,4.98,3.22
228.16,12.25,4.99,3.17
228.46,12.25,4.98,3.19
228.76,12.23,4.99,3.22
229.06,12.25,5.01,3.15
229.36,12.25,4.98,3.21
229.66,12.26,4.99,3.19
229.96,12.25,4.97,3.2
230.26,12.25,4.99,3.13
230.57,12.25,4.99,3.23
230.87,12.28,4.98,3.21
231.17,12.23,4.98,3.18
231.47,12.28,5.01,3.25
231.77,12.28,4.98,3.21
232.07,12.26,4.98,3.16
232.37,12.25,4.99,3.22
232.67,12.26,4.99,3.26
232.97,12.25,4.98,3.22
233.27,12.25,4.99,3.2
233.58,12.26,4.98,3.22
233.88,12.23,4.99,3.16
234.18,12.25,4.98,3.21
234.48,12.25,4.98,3.24
234.78,12.23,4.99,3.16
235.08,12.25,5.01,3.22
235.38,12.25,4.99,3.18
235.68,12.26,4.99,3.3
235.98,12.25,4.99,3.22
236.29,12.25,4.98,3.18
236.59,12.26,4.99,3.27
236.89,12.23,4.99,3.22
237.19,12.25,4.98,3.24
237.49,12.28,4.99,3.32
237.79,12.23,4.98,2.88
238.09,12.25,5.01,3.23
238.39,12.25,4.99,3.26
238.69,12.25,4.99,3.14
238.99,12.26,4.99,3.14
239.29,12.25,4.98,3.27
239.6,12.25,4.98,3.25
239.9,12.28,4.99,3.32
240.2,12.25,4.98,3.19
240.5,12.26,4.98,3.15
240.8,12.25,4.98,3.19
241.1,12.25,4.99,3.22
241.4,12.25,4.99,3.17
241.7,12.25,4.99,3.19
242.0,12.23,4.99,3.25
242.3,12.26,4.98,3.12
242.61,12.25,4.99,3.22
242.91,12.23,4.99,2.82
243.21,12.23,4.99,3.14
243.51,12.26,5.01,3.23
243.81,12.25,4.97,3.24
244.11,12.25,5.02,3.16
244.41,12.26,5.01,3.23
244.71,12.26,4.98,3.22
245.01,12.25,4.97,2.95
245.32,12.23,5.01,3.18
245.62,12.23,4.99,3.15
245.92,12.26,4.98,3.24
246.22,12.23,4.99,3.17
246.52,12.25,4.94,3.21
246.82,12.23,4.99,3.23
247.12,12.25,4.99,3.36
247.42,12.25,4.98,3.22
247.72,12.25,4.98,3.22
248.02,12.26,4.99,3.2
248.32,12.26,4.99,3.22
248.63,12.25,4.97,3.15
248.93,12.26,4.91,3.24
249.23,12.25,4.99,3.23
249.53,12.25,4.97,3.2
249.83,12.26,4.98,3.16
250.13,12.26,4.99,3.25
250.43,12.25,5.02,3.2
250.73,12.28,4.98,3.19
251.03,12.25,4.99,3.16
251.34,12.23,5.02,3.16
251.64,12.25,4.99,3.2
251.94,12.19,4.99,3.2
252.24,12.25,4.99,3.16
252.54,12.26,5.01,3.16
252.84,12.25,4.98,3.18
253.14,12.26,4.98,3.17
253.44,12.25,4.98,3.19
253.74,12.26,4.97,3.14
254.04,12.28,5.01,3.2
254.35,12.25,5.01,3.25
254.65,12.23,4.98,3.22
254.95,12.23,4.98,3.2
255.25,12.23,4.99,3.17
255.55,12.26,4.98,3.14
255.85,12.26,4.99,3.23
256.15,12.26,5.01,3.18
256.45,12.23,4.98,3.24
256.75,12.23,4.99,3.24
257.05,12.26,4.99,3.21
257.36,12.21,4.99,3.18
257.66,12.25,4.99,3.21
257.96,12.23,4.98,2.76
258.26,12.26,4.98,3.18
258.56,12.26,4.99,2.96
258.86,12.25,4.98,3.25
259.16,12.25,4.98,3.24
259.46,12.25,4.98,3.31
259.76,12.25,4.99,3.35
260.06,12.21,4.99,3.18
